"","date","day","run","fragment_ID","genus","family","jar","salinity","net_photo_ug_h","respiration_ug_h","gross_photo_ug_h","O2_start_L","O2_end_L","O2_start_D","O2_end_D","sum_surface_cm2","sum_volume_cm3","net_photo_h_surface","respiration_h_surface","gross_photo_h_surface","category","species"
"97",2019-08-03,"10","2","PloD3","Porites","Poritidae",9,"35.6",171.4903,19.3618,190.8521,7.07,7.16,7.01,6.92,13.6231,6560.56,12.5881994553369,1.42124773362891,14.0094471889658,"single","Plo"
"98",2019-08-03,"10","3","PveF1","Pocillopora","Pocilloporidae",1,"35.6",690.2484,645.3935,1335.6419,7.09,7.51,7.73,7.33,41.823,11350.44,16.5040384477441,15.4315448437463,31.9355832914903,"single","Pve"
"99",2019-08-03,"10","3","PveA1","Pocillopora","Pocilloporidae",2,"35.6",881.5672,764.1863,1645.7535,7.08,7.63,7.77,7.28,30.152,6253.43,29.2374369859379,25.3444647121252,54.5819016980631,"single","Pve"
"100",2019-08-03,"10","3","PveB1","Pocillopora","Pocilloporidae",3,"35.6",1125.405,900.0306,2025.4356,7.07,7.75,7.79,7.21,37.8149,10269.1,29.7608879039744,23.8009514767988,53.5618393807732,"single","Pve"
"101",2019-08-03,"10","3","AmuD1","Acropora","Acroporidae",4,"35.6",632.0456,348.5125,980.5581,7.09,7.52,7.4,7.14,14.5402,2048.4,43.46883811777,23.968893137646,67.437731255416,"single","Amu"
"102",2019-08-03,"10","3","AmuB1","Acropora","Acroporidae",5,"35.6",291.2813,225.2423,516.5236,7.1,7.35,7.3,7.11,19.1996,2005.3,15.1712171086898,11.7316142002958,26.9028313089856,"single","Amu"
"103",2019-08-03,"10","3","AmuA1","Acropora","Acroporidae",6,"35.6",283.4353,135.5326,418.9679,7.09,7.35,7.26,7.11,17.9878,2135.85,15.7570853578537,7.53469573822257,23.2917810960762,"single","Amu"
"104",2019-08-03,"10","3","PloB1","Porites","Poritidae",7,"35.6",366.7987,271.0653,637.864,7.09,7.4,7.26,7.04,14.7412,7767.71,24.8825536591322,18.3882791088921,43.2708327680243,"single","Plo"
"105",2019-08-03,"10","3","PloC1","Porites","Poritidae",8,"35.6",402.7765,387.2361,790.0126,7.09,7.44,7.28,7,18.9363,10590.79,21.2700738792689,20.4494066950777,41.7194805743466,"single","Plo"
"106",2019-08-03,"10","3","PloD1","Porites","Poritidae",9,"35.6",292.2104,309.7889,601.9993,7.1,7.38,7.26,7.02,12.9121,6014.02,22.6307417073907,23.9921391562953,46.622880863686,"single","Plo"
"107",2019-08-05,"11","1","PdaA2","Pocillopora","Pocilloporidae",1,"35.5",416.8167,720.2592,1137.0759,7,7.25,7.4,6.97,18.9445,2037.34,22.0019900234897,38.0194357201298,60.0214257436195,"single","Pda"
"108",2019-08-05,"11","1","PdaB2","Pocillopora","Pocilloporidae",2,"35.5",741.9337,1020.3672,1762.3009,7.01,7.45,7.8,7.22,39.7983,4132.81,18.6423465323896,25.6384619443544,44.280808476744,"single","Pda"
"109",2019-08-05,"11","1","PdaD2","Pocillopora","Pocilloporidae",3,"35.5",607.7945,680.2448,1288.0393,7.01,7.39,7.33,6.92,26.9432,4223.72,22.5583635202945,25.2473648267466,47.8057283470412,"single","Pda"
"110",2019-08-05,"11","1","AcyB3","Acropora","Acroporidae",4,"35.5",280.4039,385.1386,665.5425,7.02,7.22,7.16,6.88,13.4686,1264.39,20.8190829039395,28.5952957248712,49.4143786288107,"single","Acy"
"111",2019-08-05,"11","1","AcyD2","Acropora","Acroporidae",5,"35.5",199.0913,169.7385,368.8298,7.01,7.17,7.08,6.92,20.8642,2170.66,9.54224461038525,8.13539459936159,17.6776392097468,"single","Acy"
"112",2019-08-05,"11","1","AcyA2","Acropora","Acroporidae",6,"35.5",216.7447,227.8239,444.5686,6.98,7.15,7.08,6.89,22.4039,1896.82,9.67441829324359,10.1689393364548,19.8433576296984,"single","Acy"
"113",2019-08-05,"11","1","PcyB2","Porites","Poritidae",7,"35.5",269.7049,300.108,569.8129,6.99,7.19,7.07,6.85,17.8277,3394.96,15.1284181358223,16.833803575335,31.9622217111574,"single","Pcy"
"114",2019-08-05,"11","1","PcyC3","Porites","Poritidae",8,"35.5",287.3583,305.2711,592.6294,6.98,7.19,7.06,6.83,17.1689,3570.06,16.7371409933077,17.7804693369989,34.5176103303065,"single","Pcy"
"115",2019-08-05,"11","1","PcyA2","Porites","Poritidae",9,"35.5",233.4173,280.1008,513.5181,6.97,7.16,6.97,6.76,19.899,3782.54,11.7301020151766,14.0761244283632,25.8062264435399,"single","Pcy"
"116",2019-08-05,"11","2","PdaA4","Pocillopora","Pocilloporidae",1,"35.5",309.5232,254.2091,563.7323,7.02,7.21,7.15,6.97,16.2451,1787.41,19.0533268493269,15.6483555041212,34.7016823534481,"single","Pda"
